Classifier,Accuracy,ROC_AUC,Recall,Precision,F1
Logistic Regression,86.49,0.92,0.91,0.82,0.86
AdaBoost,85.14,0.93,0.89,0.82,0.85
Linear DA,85.14,0.92,0.89,0.82,0.85
Quadratic DA,85.14,0.9,0.83,0.85,0.84
Random Forest,83.78,0.92,0.83,0.83,0.83
Decision Tree,82.43,0.82,0.83,0.81,0.82
Gradient Boosting,82.43,0.9,0.89,0.78,0.83
Naive Bayes,82.43,0.92,0.86,0.79,0.82
Nu SVC,81.08,0.9,0.91,0.74,0.82
Neural Net,78.38,0.88,0.94,0.7,0.8
Support Vectors,64.86,0.8,0.89,0.58,0.7
Nearest Neighbors,55.41,0.6,0.31,0.55,0.4
